#,Category,Feature,Short Description,Key Benefit,Suggested Email Headline,,,Status
1,AI Voice Agents,AI Employees (Sarah & Lucas),"Sarah handles inbound, Lucas handles outbound. Both qualify callers and book appointments in first-person conversation, like trained reps.",More booked conversations without adding headcount.,Meet the two employees who never miss a shift,,,
2,AI Voice Agents,Built for Your Industry,"Conversation flows purpose-built for Insurance, HVAC, Roofing, and Real Estate, covering missed calls, outbound prospecting, and database reactivation.","Sounds like someone who knows your business, not a tech vendor.","Trained on your industry, not a generic script",,,
3,AI Voice Agents,Live Call Transfers,"Qualified callers are transferred live to a human closer mid-call, so high-intent conversations never wait on a callback.",Hot opportunities stay hot.,The handoff that closes deals,,,
4,AI Voice Agents,Conversation Memory,"When enabled, agents recall prior conversations with the same contact. Customers never repeat themselves. Opt-in per agent.",Relationship-level service on every repeat call.,Your AI employee remembers every customer,,,
5,AI Voice Agents,"Inbound + Outbound, One System","Every call, inbound or outbound, flows into one customer record so your team always has the full picture.",One pipeline. One source of truth.,Every conversation. One record.,,,
6,Call Intelligence & Reliability,AI Call Summaries,"After every call, a plain-language summary covers who called, what was discussed, and the outcome.",Know what happened without relistening.,"Every call, summarized in seconds",,,
7,Call Intelligence & Reliability,Full Transcripts & Recordings,"Every call is recorded and transcribed automatically, creating a searchable record for training, QA, and dispute resolution.",Proof every call was answered and handled.,"Every conversation, on the record",,,
8,Call Intelligence & Reliability,Automatic Disposition Tagging,"Every call outcome is tagged automatically: DNC, Voicemail, Not Interested, Call Back, Follow Up, Won.",Accurate pipeline status with zero manual logging.,Your pipeline updates itself,,,
9,Compliance & Trust,Compliance by Design,"Every AI call opens with a mandatory disclosure, meeting TCPA and FCC telemarketing requirements out of the box.",Compliant from the first word.,"Compliance built in, not bolted on",,,
10,Compliance & Trust,TCPA Calling Hours,Set exact calling and texting windows so outreach only happens within legal hours (8am–9pm).,Outbound that stays inside the rules automatically.,"Controlled outbound, within the legal window",,,
11,Compliance & Trust,DNC & Opt-Out Handling,DNC contacts are blocked and flagged everywhere they appear. Opt-outs are honored platform-wide.,Protects your business and your reputation.,"Respect every opt-out, automatically",,,
12,Scheduling & Calendar,Automatic Appointment Booking,"Connect Cal.com once. Your AI employee books, reschedules, and cancels in real time, synced to Google Calendar and Outlook, respecting blocked time.",No phone tag. No double-bookings.,From ringing phone to booked appointment,,,
13,Scheduling & Calendar,Every Booking Channel in One Place,"Bookings from AI Voice, SMS, booking links, or manual entry are captured with full details in one portal.","Manage reschedules, cancellations, and no-shows from one screen.",Every booking. One view.,,,
14,Scheduling & Calendar,Shareable Booking Links,"Send a link and let prospects schedule themselves. Bookings, reschedules, and cancellations sync automatically.",Capture demand even when no one is on the phone.,Let customers book themselves,,,
15,Usage & Billing Visibility,Usage Tracking Widget,A simple dial shows minutes used and SMS sent for the current period.,Predictable usage. No surprise overages.,Always know where you stand,,,
16,Campaign Controls,Pause & Resume Campaigns,Stop all calls in a campaign with one click and resume just as fast. Contacts and settings stay intact.,Full control over outbound timing.,"Your outbound, on your terms",,,
17,Campaign Controls,Time Zone Settings,Set your time zone once and every timestamp and scheduled activity displays in local time.,Scheduling clarity across every record.,Everything runs on your clock,,,
18,Campaign Controls,Browser Dialer,"Dial directly from the browser in Auto or Manual mode, with recordings for every manual call.","Your team calls from anywhere, with a full record.",Dial straight from your browser,,,
19,Messaging & Outreach,Group Messaging with Visibility,"Message multiple contacts at once and see exactly how many went out, how many replied, and what conversations started.",Know what every campaign actually produced.,See what your messages actually started,,,
20,Messaging & Outreach,Bulk Contact Upload,Import contact lists in bulk and clear duplicates in a single click.,Put your existing database to work in minutes.,"Your database, ready to work",,,
